Depth (ft),GR (GAPI),SP (mV),RFOC (ohmm),RILM (ohmm),RILD (ohmm),DPHI (dec),NPHI (dec)
8168.5,134.4317049,-6.779263231,4.748728264,4.567289228,4.648873752,0.098826042,0.244030054
8169,137.8625191,-7.214732677,4.603956279,4.509267844,4.638241869,0.098435098,0.249071004
8169.5,136.2217706,-7.015745376,4.514760276,4.444061979,4.610241415,0.096298222,0.25287082
8170,138.4023982,-6.335824814,4.568633519,4.381284311,4.558878691,0.094431429,0.255155721
8170.5,136.849562,-6.075456033,4.681449018,4.328257379,4.48647582,0.094081517,0.256209668
8171,135.6082933,-6.493507954,4.727681973,4.286502935,4.405403925,0.095632282,0.255627927
8171.5,136.8541274,-7.053003329,4.665021384,4.256478309,4.327968873,0.098262085,0.25257329
8172,138.3713267,-7.18201745,4.54391795,4.2368474,4.265651768,0.099114369,0.246531616
8172.5,139.09298,-6.409775894,4.417874458,4.222476216,4.227398147,0.098833382,0.244735125
8173,139.4688105,-5.408977432,4.359161517,4.207846973,4.213044914,0.099009443,0.25158774
8173.5,134.2143497,-5.137175958,4.477677577,4.18923957,4.22018661,0.096021231,0.256028838
8174,132.0344005,-5.977054072,4.817913172,4.179186013,4.246755619,0.093682682,0.257352063
8174.5,132.7256596,-7.40769873,5.137973789,4.19910741,4.290826609,0.105289889,0.255302607
8175,135.7545092,-9.066683472,5.147520386,4.265995888,4.348450231,0.120078565,0.24664725
8175.5,137.4771545,-11.41958627,4.984059024,4.365762556,4.41340814,0.128391724,0.237138629
8176,143.1843593,-11.12459772,4.928311993,4.471119779,4.479954423,0.129067336,0.236735418
8176.5,143.2118289,-10.40978923,5.00819841,4.552693946,4.543652648,0.127137217,0.240417032
8177,140.9126375,-9.234792294,5.08753274,4.600084927,4.599998799,0.127104008,0.244408862
8177.5,139.4368454,-7.273001532,5.041901505,4.632866574,4.647370076,0.124751533,0.247774243
8178,138.7610292,-5.314003251,4.911606443,4.673795925,4.693464493,0.114483664,0.249906718
8178.5,138.7244649,-4.306178162,4.811619401,4.735977798,4.748046104,0.098317382,0.25105224
8179,139.1664283,-4.53814218,4.842597774,4.808673097,4.815961973,0.094110382,0.251635314
8179.5,139.9261954,-5.021856417,5.000169189,4.877069518,4.891277837,0.097415614,0.25203659
