Depth (feet),GR (GAPI),SP (mV),GUARD (ohmm),MEDIUM (ohmm),DEEP (ohmm),DPHI (dec),NPHI (dec)
8124.5,109.1481543,-6.765161613,6.298951836,5.481681197,4.740530444,0.054135531,0.243726329
8125,102.7157486,-12.50899133,7.01873694,5.311231694,4.625574557,0.03757977,0.234990039
8125.5,93.53597723,-17.2772327,7.693211714,5.152670367,4.497813611,0.047903528,0.22732566
8126,87.7005466,-20.33140709,8.088003648,5.016269672,4.366982916,0.066755342,0.222742603
8126.5,85.48298681,-22.99107812,8.348307237,4.911109495,4.251041052,0.092684299,0.220605939
8127,85.71956396,-25.73007361,8.474463964,4.833614183,4.167297116,0.109674562,0.220196572
8127.5,88.54618984,-25.95690092,8.205407834,4.761639169,4.132097738,0.115151468,0.22041719
8128,94.66598772,-25.12605122,7.579257257,4.683529681,4.162509639,0.115319585,0.220019027
8128.5,99.59143963,-23.71366899,7.17652667,4.62561332,4.277060369,0.109628586,0.219276301
8129,100.1640687,-21.12242212,6.635376482,4.621275802,4.461963598,0.104218556,0.219373888
8129.5,99.14337395,-19.66256946,6.333890692,4.704814311,4.665222098,0.106795361,0.221501086
8130,99.82847166,-19.48802483,6.656937018,4.880616105,4.82700201,0.109581306,0.226191868
8130.5,99.88819482,-17.65047139,6.287775433,5.084600604,4.952730859,0.1033821,0.231977083
8131,99.51513848,-11.06563362,6.019986399,5.275542129,5.121313694,0.094372205,0.235103338
8131.5,105.0639494,-7.643473864,6.310596361,5.468160643,5.334062598,0.08613295,0.234779277
8132,113.1258716,-5.719107434,6.64375377,5.668947467,5.517917194,0.075110815,0.233878153
8132.5,109.1373947,-1.851673348,6.942811778,5.867324014,5.592289868,0.05850535,0.229128985
8133,109.5320747,-0.355323159,7.32898554,6.04918145,5.544532087,0.040814469,0.223306231
8133.5,112.32898,-0.707573425,7.270420044,6.163382907,5.425053837,0.03508248,0.220534287
8134,107.0587142,-0.793166739,6.787744348,6.115074531,5.286242465,0.038947311,0.22040338
8134.5,105.9490882,0.575158401,6.278709031,5.857226392,5.176472747,0.046784986,0.222197122
8135,106.846341,2.916666667,5.880042809,5.631527184,5.129140782,0.053471501,0.22291786
8135.5,107.9757568,5.350203191,5.892635966,5.52767728,5.133485561,0.055757665,0.218204222
8136,109.4828835,6.396000266,6.063227446,5.455126266,5.169592248,0.048693296,0.216537437
8136.5,111.1862038,6.220319384,6.021202794,5.357696612,5.220228188,0.042963394,0.218847175
8137,114.7305889,5.695595087,5.871660011,5.312660452,5.277987011,0.039940233,0.221832625
8137.5,110.7818364,5.662465378,5.840435571,5.431539256,5.337998391,0.044228933,0.221992421
