Depth (ft),GR (GAPI),SP (mV),SFLU (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
8016.5,102.0863076,1.795755079,4.050386429,3.133302795,3.146933881,0.0788446,0.315176128
8017,102.326129,1.452431641,4.051751124,3.111917211,3.078109184,0.077648076,0.320449193
8017.5,104.8252993,1.224299013,4.043058251,3.003556913,2.977190856,0.079066771,0.327745112
8018,107.6647798,1.18091063,3.921964563,2.9407678,2.880410253,0.086455297,0.334877726
8018.5,106.2744637,1.264350458,3.654649609,2.903550402,2.823278579,0.098964857,0.34165912
8019,102.9122557,1.408515599,3.37980145,2.789661077,2.767413793,0.108427823,0.349406663
8019.5,101.8357203,1.547303155,3.196582882,2.733389804,2.709490651,0.109172842,0.355241782
8020,105.8734561,1.616335568,3.132846724,2.732847992,2.694444142,0.100002304,0.353614563
8020.5,110.8770451,1.603182853,3.216691633,2.734128199,2.708659491,0.094635901,0.346876139
8021,112.7704591,1.555229256,3.421126118,2.72713665,2.727673256,0.093506626,0.343471264
8021.5,111.2984835,1.512319255,3.582417202,2.719916462,2.747271976,0.088846279,0.333043004
8022,108.0791756,1.486870373,3.464978058,2.729988878,2.774487468,0.077623361,0.328861875
8022.5,106.4050113,1.487034308,3.354557374,2.772864303,2.821539463,0.068095096,0.33969148
8023,107.8504671,1.520604722,3.436343574,2.849014786,2.879319421,0.066908863,0.342931756
8023.5,110.7099854,1.5748393,3.473712577,2.921622262,2.907931118,0.063995234,0.346094561
8024,111.9412576,1.605697543,3.442176416,2.939140667,2.872395635,0.06401399,0.349751412
8024.5,110.0552775,1.566507932,3.422872239,2.902010772,2.809105486,0.073665149,0.344912409
8025,108.1474559,1.410678221,3.492298531,2.870153906,2.78419529,0.075842356,0.333028393
8025.5,106.6164888,1.132787494,3.612923243,2.897070261,2.853328942,0.073230474,0.325300177
8026,106.6977627,0.835819027,3.614260311,2.960856647,2.988888025,0.072290682,0.329422657
8026.5,109.3536221,0.640386946,3.579690744,3.011986404,3.084528346,0.072170288,0.332322424
8027,110.7044531,0.665318986,3.584628534,3.042258105,3.096438985,0.071800353,0.329502999
8027.5,109.2299918,0.9205138,3.554999641,3.067324777,3.068526896,0.072462263,0.324156358
8028,106.6561453,1.246018577,3.885389686,3.090186065,3.05054463,0.074038915,0.319077198
8028.5,105.2908697,1.476948248,4.394209001,3.107997814,3.074388129,0.072251642,0.315979826
8029,105.5558329,1.567770579,4.067613299,3.133699222,3.143093917,0.069274357,0.316400775
8029.5,106.8602438,1.552628264,3.796482129,3.18003915,3.247489069,0.068186163,0.320176928
8030,108.6036325,1.467117342,3.906336226,3.248989186,3.350792669,0.067545235,0.324476407
8030.5,110.1216504,1.346833852,4.094690015,3.328865721,3.413933044,0.066980736,0.325639657
8031,109.4069193,1.227041689,4.359956358,3.398553606,3.44307978,0.066373813,0.317215818
8031.5,104.9871767,1.119448422,4.576071857,3.481224462,3.467319432,0.06563961,0.301947709
8032,102.4883807,0.996994869,4.586516095,3.630632254,3.51612991,0.064853947,0.292877201
8032.5,103.569602,0.829008908,4.680887304,3.776666253,3.57477305,0.064246126,0.292427564
8033,104.0182735,0.584818418,4.833052202,3.797845208,3.573945971,0.066897129,0.293049542
8033.5,101.9446446,0.233751278,4.849577492,3.712316229,3.539293999,0.07198221,0.29076401
8034,101.1750779,-0.254864635,4.652775341,3.673098361,3.536155461,0.074779479,0.286836479
8034.5,104.7428157,-0.907612227,4.389813682,3.716369876,3.589279787,0.072398306,0.289738231
8035,108.4885215,-1.724009281,4.328501251,3.684378301,3.712464244,0.065342446,0.310883642
8035.5,110.6701,-2.692576669,4.45537328,3.752197706,3.820028197,0.054086331,0.34621463
8036,107.9541809,-3.80180353,4.771303661,4.022530841,3.705274355,0.037636152,0.394810762
8036.5,92.52084054,-5.052793504,5.350740824,4.289243911,3.86651308,0.025662643,0.377173819
8037,85.92410471,-6.593828653,5.285456221,4.471895806,5.300002778,0.02786616,0.363671986
8037.5,89.0723032,-8.668399461,5.940792852,4.619986686,5.701914816,0.037318238,0.346498775
8038,92.47315043,-11.5215947,5.824065356,5.542288966,13.68843903,0.041690428,0.317472816
8038.5,88.6246584,-15.37790962,2.040813707,14.89896442,1.383637431,0.039243871,0.27839721
8039,77.89813559,-20.35285049,51.5986001,0.314531472,14.68147539,0.034293687,0.238778193
8039.5,64.54194755,-26.52600288,3.733216671,78.12494457,19.39367223,0.031248414,0.207215241
8040,44.1717472,-33.93084299,34.69510033,85.32632058,10.99589725,0.092686899,0.190104316
