Depth (ft),GR (GAPI),SP (MV),RFOC (ohmm),RILM (ohmm),RILD (ohmm),DPHI (dec),NPHI (dec)
7955,113.5002353,3.096959439,3.307758856,3.109703651,3.036961036,0.089824373,0.31169129
7955.5,111.4693193,2.935838949,3.452228319,3.128334979,3.070028908,0.090640472,0.308380766
7956,107.9921086,2.693847792,3.73623072,3.146491216,3.125737256,0.088512881,0.297390184
7956.5,105.104243,2.576636683,3.932550247,3.155252577,3.186083337,0.083524447,0.283654443
7957,105.2618952,2.583189261,3.985701796,3.145657084,3.231799055,0.077364041,0.275996918
7957.5,100.8063544,2.645032614,3.99844204,3.109091997,3.245064601,0.071862157,0.275474686
7958,101.5473325,2.696192314,3.828964093,3.04297768,3.224846922,0.068925616,0.280312365
7958.5,105.6243125,2.736531828,3.50845759,2.971757331,3.177918497,0.069667149,0.286094941
7959,107.1659919,2.836215921,3.611051341,2.918926153,3.11149149,0.071866546,0.289813014
7959.5,108.147982,3.068837163,3.748941064,2.883148008,3.032710893,0.073395033,0.298044367
7960,111.1701713,3.46886516,3.714766951,2.858860606,2.948300469,0.073607975,0.310276589
7960.5,112.9638198,3.931647421,3.564994256,2.840857061,2.863413114,0.072049116,0.320142615
7961,110.9801048,4.322588433,3.365269587,2.824127449,2.781198113,0.068376464,0.321262681
7961.5,106.0931008,4.553175817,3.366306352,2.803792411,2.704332204,0.063098475,0.310164739
7962,104.5987796,4.600179514,3.623578293,2.775476843,2.635103987,0.057107111,0.295899388
7962.5,104.1067329,4.449908837,3.759558198,2.738947867,2.574570543,0.051770287,0.290892065
7963,104.7567755,4.136838118,3.46827179,2.69648649,2.523099201,0.052350444,0.303705393
7963.5,111.6489496,3.72423771,3.06736651,2.650336421,2.481063465,0.059653186,0.321661477
7964,112.7518382,3.275765196,2.930694473,2.602627309,2.44880017,0.06901682,0.329643694
7964.5,110.2487184,2.854869518,3.20270183,2.555354339,2.425379789,0.074362621,0.330071098
7965,107.7116893,2.520109876,3.603437908,2.510373816,2.408864506,0.072670341,0.327360896
7965.5,107.0665595,2.325104673,3.67473598,2.469412998,2.397396966,0.069502974,0.324017059
7966,110.6671622,2.32167825,3.496444375,2.434287374,2.38919304,0.071292929,0.322068452
7966.5,116.8552954,2.513302645,3.24927347,2.407765147,2.382511419,0.07829259,0.321048014
7967,116.695682,2.847216257,3.080320163,2.392898678,2.375636292,0.085025514,0.320695297
7967.5,114.2638029,3.267494737,3.014446475,2.392798885,2.366872544,0.087431434,0.322548654
7968,113.2152642,3.719168069,3.010442141,2.410813308,2.354943975,0.08955788,0.326358229
7968.5,113.5673799,4.160228913,3.031347624,2.449297643,2.34160778,0.089809516,0.329820296
7969,114.1276019,4.558015229,3.042242985,2.502420924,2.329976321,0.086950864,0.330710309
7969.5,114.3493827,4.87713495,3.039750557,2.560845329,2.323111215,0.083500243,0.32683291
7970,114.327048,5.068658673,3.076091294,2.614406273,2.324058152,0.081406629,0.319000712
7970.5,113.8747154,5.079758591,3.247778484,2.653209533,2.335930041,0.079499126,0.313236338
7971,112.4153502,4.857606535,3.429441856,2.676401372,2.36203257,0.075832069,0.310496039
7971.5,112.4413981,4.35226981,3.394998449,2.688187576,2.404767666,0.068538572,0.308838414
7972,115.0204593,3.647511477,3.17527065,2.693084363,2.460515252,0.061207138,0.30863996
7972.5,118.0757846,3.014059922,3.036514107,2.695726583,2.523443408,0.061624997,0.311310206
7973,121.8804864,2.658144203,3.051687638,2.700788968,2.587166683,0.063406884,0.317257576
7973.5,120.7204971,2.539997417,3.156316822,2.712987663,2.644705832,0.062999358,0.318727363
7974,117.672826,2.571752453,3.326055645,2.737163732,2.691742301,0.061598571,0.31119546
7974.5,114.2900798,2.665542197,3.54567305,2.776167865,2.728604238,0.060656478,0.303859843
7975,111.3283452,2.745985142,3.587978351,2.823379754,2.756180257,0.060616276,0.302286734
7975.5,111.6524035,2.808934823,3.457422971,2.869191047,2.7755159,0.060041432,0.304101651
7976,114.669631,2.875469302,3.35477064,2.903382156,2.787776101,0.060155037,0.306287473
7976.5,117.7525739,2.966696063,3.238272954,2.915355183,2.794210796,0.06240888,0.308131146
7977,118.8706221,3.10357644,3.399901458,2.898091576,2.796132895,0.065993719,0.312692524
7977.5,118.5073519,3.295926832,3.993803311,2.860788938,2.795072856,0.068384801,0.316768772
7978,117.1605488,3.533554782,3.769059418,2.817124615,2.792762279,0.067025621,0.309429017
7978.5,115.4720627,3.755512059,3.440398973,2.780137909,2.790939828,0.061929433,0.2988025
7979,114.7485793,3.83610893,3.407657577,2.762232145,2.79134036,0.058968998,0.299341082
7979.5,115.2503866,3.65621011,3.651039653,2.775754659,2.795703358,0.064811458,0.306540716
7980,115.9685201,3.202268282,3.82950068,2.833064702,2.803900088,0.077112534,0.315197731
