Depth (ft),GR (GAPI),SP (mV),RFOC (ohmm),RILM (ohmm),RILD (ohmm),DPHI (dec),NPHI (dec)
8178,111.7020796,2.362844823,6.43410888,6.043343657,4.96140133,0.098966812,0.233524791
8178.5,112.5235958,2.353319942,6.422010878,6.490385909,5.113138739,0.100377435,0.236610902
8179,112.6515596,2.406444506,6.438123928,6.757168369,5.439709577,0.104559837,0.237786859
8179.5,111.4213154,2.4866083,6.385526293,6.79809737,5.862059911,0.10908492,0.238466455
8180,108.7578885,2.55630849,6.334674194,6.724554407,6.155519722,0.111911679,0.239590615
8180.5,105.3625169,2.578042242,6.398566132,6.646701529,6.133330468,0.11099911,0.241450776
8181,101.4838013,2.514306723,6.512451364,6.559640058,5.965572315,0.105408468,0.241543306
8181.5,99.32490477,2.327626172,6.508868212,6.451334834,5.850327283,0.098566326,0.236551492
8182,99.40931892,2.009935542,6.382940903,6.323370912,5.78322383,0.093438807,0.232376164
8182.5,100.7561124,1.638637366,6.214888559,6.177621663,5.724836596,0.091010994,0.233016616
8183,102.3567138,1.306572489,6.074472074,6.016107326,5.643275127,0.092135694,0.234701574
8183.5,103.289799,1.10658176,5.939228207,5.845652657,5.536476358,0.097031412,0.233840254
8184,104.2747846,1.106152586,5.748330912,5.68070755,5.411555044,0.104959264,0.228999614
8184.5,106.3904865,1.269295179,5.686650183,5.534991471,5.275330844,0.118743881,0.223332884
8185,106.926774,1.533624139,6.087500219,5.419327204,5.134177033,0.141575691,0.219372271
8185.5,104.9519073,1.83675406,7.100157676,5.339622041,5.000326472,0.161243331,0.216651864
8186,102.8029761,2.11645949,8.029671059,5.301216178,4.899732041,0.160174657,0.214882878
8186.5,101.7919814,2.328937214,7.772292302,5.3101097,4.858984882,0.143987484,0.216059556
8187,101.8494982,2.465671742,6.588703717,5.370897393,4.912968783,0.131276174,0.2227556
8187.5,102.4207189,2.52213423,5.586610546,5.479451631,5.060055818,0.126621826,0.235606496
8188,102.9009332,2.493795833,5.311618904,5.627975586,5.265771351,0.130224926,0.243761041
8188.5,102.9304797,2.376127705,5.402385654,5.802169379,5.49504325,0.134568514,0.247488915
8189,102.886671,2.164601,5.423659763,5.975805544,5.715546969,0.130298676,0.25162155
8189.5,102.5673446,1.857638589,5.422307954,6.110514834,5.891146685,0.117270081,0.25019052
8190,100.1561295,1.495068233,5.506468839,6.168631348,5.983075272,0.099497846,0.248028924
8190.5,94.4601839,1.147235414,5.592088981,6.1582788,5.989389443,0.085346826,0.250795836
8191,87.8950822,0.885196165,5.614092579,6.117929337,5.964934133,0.079105061,0.252344178
8191.5,83.84100212,0.77756391,5.684743655,6.057755111,5.965107121,0.077829264,0.250133597
8192,85.23656336,0.837339933,5.86085866,5.960021631,5.944986345,0.078047549,0.245777782
8192.5,91.47991762,1.022227011,5.898329075,5.833926567,5.830742927,0.078731644,0.240903981
8193,100.1360272,1.287548046,5.820617223,5.69829226,5.687073823,0.087065309,0.236830439
8193.5,106.8384155,1.588625938,5.783625692,5.577656709,5.588565977,0.103983497,0.234817125
