Depth (ft),GR (GAPI),SP (mV),SFLU (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
8137,74.32910457,-7.57132139,9.220005566,6.645418755,5.502717921,0.055369918,0.227460505
8137.5,131.3515247,-9.308239745,11.77290483,6.052987634,5.396167868,0.06955939,0.209394633
8138,18.43510637,-10.95281313,10.38598446,5.810924917,5.321545916,0.077064815,0.181731907
8138.5,112.0021705,-12.24439063,7.900258303,5.729494645,5.28505486,0.098581394,0.203108138
8139,119.9480388,-12.883788,6.598320873,5.522642258,5.228096535,0.103047814,0.228483096
8139.5,118.6671808,-12.62261709,5.533105706,5.150032333,5.094334953,0.08570864,0.235583891
8140,114.6846837,-11.59685307,4.583414862,4.676801104,4.851376207,0.057414067,0.253703935
8140.5,110.3951346,-10.14266764,4.220512065,4.610117528,4.548625547,0.056344186,0.271590696
8141,102.1798481,-9.122117778,4.393220383,4.890864813,4.257967585,0.062330256,0.273855873
8141.5,97.24295709,-9.468939242,4.910781746,4.836580079,4.023539118,0.079505418,0.249961084
8142,97.33163445,-11.01608574,5.133298915,4.580696714,3.822877184,0.102209824,0.236797224
8142.5,98.60348343,-14.07179419,5.052060065,4.305119906,3.627973166,0.110491758,0.236525908
8143,99.03615056,-16.18534607,5.371719814,4.059738657,3.44121882,0.11663679,0.233992791
8143.5,99.29030674,-16.22723242,7.65113882,3.827633098,3.2684556,0.135350977,0.211402254
8144,99.50432872,-20.68015784,9.145146008,3.595495778,3.101520143,0.157517689,0.194484241
8144.5,99.94838687,-31.65304977,9.773344488,3.370264483,2.928141036,0.17074907,0.205098252
8145,100.2991013,-35.78463791,9.861749213,3.171054417,2.741656684,0.174990843,0.232805261
8145.5,100.1911241,-38.40775396,6.584456859,3.003561206,2.576877762,0.171597718,0.249820267
8146,99.56189797,-30.98892184,4.055000483,2.86929756,2.485381123,0.152961091,0.275615174
8146.5,98.51107534,-27.92759995,3.105895823,2.769708274,2.463081364,0.114964306,0.300279351
8147,97.62281192,-20.72273992,2.730547522,2.706314149,2.479238183,0.066355827,0.311918945
8147.5,97.47488968,-13.80543834,2.572455172,2.673196002,2.505044483,0.057564001,0.314843374
8148,98.30621059,-9.531482025,2.547252372,2.656440269,2.54074189,0.059661504,0.314546042
8148.5,98.89858352,-5.958315506,2.64921168,2.646248073,2.654042112,0.040216852,0.313171478
8149,98.65560895,-3.034437592,2.820690121,2.693076627,2.849902017,0.03018876,0.309554507
8149.5,98.28278511,-1.68002211,2.937557768,2.905357931,3.079830029,0.049492362,0.303578408
8150,98.22904386,-0.795635066,3.060380326,3.336203334,3.358320443,0.055216981,0.299520767
8150.5,99.44348638,-0.965736051,4.068118405,3.791744567,3.728019368,0.048557017,0.295658462
8151,101.1322393,-4.633500369,5.398012911,4.424114959,4.255556027,0.031810497,0.291540546
8151.5,100.4798056,-8.112756122,10.54071866,5.430802263,5.00516599,0.01882159,0.287679413
8152,98.28717438,-10.96426246,16.43097538,6.537958113,5.733440013,0.004912838,0.284587454
8152.5,96.2650705,-13.60843422,13.66104611,7.254891659,6.029662455,0.037697235,0.282701956
8153,97.25191445,-14.98649689,10.39923161,7.314296561,5.915555252,0.060044825,0.282000619
8153.5,97.67756548,-16.05644802,8.40921648,6.764231596,5.865109458,0.068182553,0.282287361
8154,97.10170247,-18.30084491,7.33641668,5.852992795,5.611577552,0.073341665,0.28336578
8154.5,96.03763543,-22.1569802,5.610908229,5.01840246,4.946812158,0.075167143,0.28503343
8155,95.31700055,-26.3048339,5.022220151,4.35734585,4.201302852,0.070138287,0.286854793
8155.5,96.58446665,-27.99480152,7.278377925,3.827641103,3.652021387,0.074073727,0.2880926
8156,98.23777444,-25.04911192,8.826576201,3.412081216,3.304557059,0.112710314,0.288050661
8156.5,98.39006616,-28.50975,8.851970275,3.102962192,3.058676171,0.146521081,0.286660957
8157,96.99531733,-54.76926322,9.511667784,2.898483631,2.886359234,0.164737692,0.284543667
8157.5,96.47193658,-65.11844719,10.77651462,2.800188194,2.779426656,0.17735082,0.282389147
8158,96.97852048,-62.0693793,9.683476856,2.813697611,2.731968608,0.183972533,0.280887749
8158.5,97.05214449,-63.66477485,8.133562027,2.92108172,2.728767661,0.188652264,0.280824945
8159,96.20266221,-66.97631063,7.780379895,3.0403224,2.751074996,0.184167943,0.285924957
8159.5,95.28936423,-68.3019145,7.806738745,3.109646715,2.781551418,0.168864,0.295455573
8160,95.03615533,-67.86001772,7.687761921,3.151036133,2.815759447,0.1632941,0.293745812
8160.5,95.25945618,-66.6791144,7.335699936,3.200205868,2.859724449,0.165594866,0.286248887
8161,96.11951373,-65.73417609,7.931567606,3.286455116,2.920200622,0.165590184,0.281643872
8161.5,99.31391666,-65.03595357,8.808401257,3.410179754,3.004697345,0.156764129,0.279968031
8162,102.0019733,-63.76915798,9.233276427,3.565229801,3.120984974,0.146442095,0.280418921
8162.5,103.2203196,-61.70733726,9.599369165,3.742737386,3.254345463,0.14962631,0.282242937
8163,103.666914,-59.61863325,9.437490475,3.891855038,3.362311148,0.152527895,0.284980279
8163.5,101.9326954,-58.5513012,8.552628472,3.92240202,3.41208232,0.146833997,0.287871522
